ダウンロードした時刻：2025/07/15 21:02:44

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
1980/10,18.2,8,1,8.7,8,1,28.8,8,1,21.9,8,1,14.8,8,1,18.7,8,1,8.2,8,1,27.9,8,1,22.7,8,1,15.3,8,1,24.2,8,1,16.4,8,1,30.1,8,1,27.0,8,1,21.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/11,13.0,8,1,5.1,8,1,21.8,8,1,16.8,8,1,9.2,8,1,13.7,8,1,5.1,8,1,23.3,8,1,17.7,8,1,9.8,8,1,21.8,8,1,15.0,8,1,27.7,8,1,24.3,8,1,19.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1980/12,7.7,8,1,-0.7,8,1,19.3,8,1,11.9,8,1,3.8,8,1,6.8,8,1,-1.0,8,1,19.5,8,1,10.2,8,1,3.4,8,1,16.8,8,1,11.0,8,1,25.0,8,1,19.1,8,1,14.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/1,4.4,8,1,-2.2,8,1,12.0,8,1,8.5,8,1,0.6,8,1,3.7,8,1,-2.0,8,1,9.9,8,1,7.1,8,1,0.5,8,1,15.0,8,1,9.9,8,1,22.3,8,1,17.4,8,1,12.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/2,5.3,8,1,-3.5,8,1,17.2,8,1,9.2,8,1,1.9,8,1,5.1,8,1,-5.5,8,1,17.6,8,1,8.7,8,1,1.6,8,1,16.3,8,1,8.8,8,1,24.9,8,1,19.0,8,1,13.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/3,9.0,8,1,0.2,8,1,20.6,8,1,13.0,8,1,5.2,8,1,9.3,8,1,0.0,8,1,19.9,8,1,13.5,8,1,5.4,8,1,18.9,8,1,12.2,8,1,25.7,8,1,21.8,8,1,16.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/4,13.9,8,1,2.7,8,1,23.9,8,1,18.0,8,1,9.5,8,1,14.4,8,1,3.2,8,1,27.7,8,1,19.0,8,1,9.9,8,1,21.6,8,1,15.3,8,1,27.9,8,1,24.4,8,1,19.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/5,17.5,8,1,10.2,8,1,28.4,8,1,21.4,8,1,13.5,8,1,18.5,8,1,9.1,8,1,31.2,8,1,23.6,8,1,13.9,8,1,22.6,8,1,16.6,8,1,28.9,8,1,25.4,8,1,20.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/6,20.2,8,1,12.4,8,1,32.0,8,1,23.6,8,1,17.2,8,1,23.2,8,1,11.6,8,1,30.7,8,1,27.3,8,1,20.0,8,1,26.1,8,1,18.7,8,1,32.3,8,1,28.7,8,1,24.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/7,26.3,8,1,17.0,8,1,34.3,8,1,30.0,8,1,23.4,8,1,28.3,8,1,21.8,8,1,35.4,8,1,32.7,8,1,24.9,8,1,28.1,8,1,23.3,8,1,33.4,8,1,31.1,8,1,25.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/8,26.2,8,1,20.0,8,1,33.9,8,1,30.0,8,1,23.4,8,1,27.4,8,1,18.9,8,1,36.8,8,1,32.3,8,1,23.7,8,1,28.6,8,1,24.2,8,1,33.1,8,1,31.3,8,1,26.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/9,21.8,8,1,15.6,8,1,31.6,8,1,25.2,8,1,18.7,8,1,23.1,8,1,13.0,8,1,33.7,8,1,27.6,8,1,19.6,8,1,26.8,8,1,23.3,8,1,31.7,8,1,29.3,8,1,24.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/10,17.6,8,1,10.1,8,1,26.7,8,1,21.1,8,1,14.4,8,1,17.6,8,1,7.9,8,1,26.7,8,1,21.8,8,1,13.7,8,1,24.5,8,1,17.1,8,1,30.6,8,1,27.2,8,1,22.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/11,10.4,8,1,2.4,8,1,21.4,8,1,13.9,8,1,7.2,8,1,11.1,8,1,2.0,8,1,23.3,8,1,14.8,8,1,7.6,8,1,21.1,8,1,15.6,8,1,28.2,8,1,23.9,8,1,18.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1981/12,7.6,8,1,0.4,8,1,16.2,8,1,11.7,8,1,3.8,8,1,7.6,8,1,-0.1,8,1,16.6,8,1,11.6,8,1,3.8,8,1,17.3,8,1,12.2,8,1,23.3,8,1,19.9,8,1,14.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/1,5.8,8,1,-1.0,8,1,16.8,8,1,9.7,8,1,2.2,8,1,5.3,8,1,-2.7,8,1,14.0,8,1,9.2,8,1,1.5,8,1,15.6,8,1,9.7,8,1,24.1,8,1,18.4,8,1,13.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/2,5.5,8,1,-1.0,8,1,13.1,8,1,9.3,8,1,1.8,8,1,5.5,8,1,-1.1,8,1,12.6,8,1,9.2,8,1,2.0,8,1,16.9,8,1,11.0,8,1,23.2,8,1,19.5,8,1,14.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/3,9.9,8,1,1.2,8,1,21.3,8,1,14.0,8,1,5.9,8,1,9.7,8,1,0.8,8,1,21.1,8,1,14.5,8,1,5.2,8,1,19.8,8,1,11.4,8,1,26.3,8,1,22.4,8,1,17.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/4,14.0,8,1,4.7,8,1,23.2,8,1,17.8,8,1,10.0,8,1,14.0,8,1,4.5,8,1,25.6,8,1,19.0,8,1,9.5,8,1,20.2,8,1,14.2,8,1,25.5,8,1,22.9,8,1,17.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/5,20.7,8,1,11.9,8,1,28.7,8,1,24.7,8,1,16.8,8,1,20.5,8,1,10.5,8,1,30.3,8,1,25.3,8,1,16.4,8,1,24.7,8,1,17.8,8,1,30.1,8,1,27.2,8,1,22.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/6,21.4,8,1,14.8,8,1,29.4,8,1,24.9,8,1,18.2,8,1,22.3,8,1,14.2,8,1,30.9,8,1,27.1,8,1,18.4,8,1,25.5,8,1,18.3,8,1,30.4,8,1,27.9,8,1,23.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/7,23.1,8,1,16.1,8,1,31.2,8,1,26.1,8,1,20.4,8,1,24.7,8,1,17.2,8,1,33.7,8,1,28.8,8,1,21.5,8,1,28.6,8,1,21.2,8,1,33.0,8,1,31.2,8,1,26.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/8,27.1,8,1,22.0,8,1,33.0,8,1,30.2,8,1,24.6,8,1,27.2,8,1,21.0,8,1,34.6,8,1,31.4,8,1,23.9,8,1,28.0,8,1,23.3,8,1,32.6,8,1,30.8,8,1,25.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/9,22.3,8,1,17.0,8,1,31.3,8,1,25.6,8,1,19.8,8,1,22.9,8,1,14.2,8,1,33.6,8,1,26.8,8,1,19.7,8,1,26.7,8,1,21.0,8,1,31.8,8,1,29.4,8,1,24.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/10,18.0,8,1,9.5,8,1,27.3,8,1,21.6,8,1,14.6,8,1,18.4,8,1,7.4,8,1,27.4,8,1,23.0,8,1,14.5,8,1,24.2,8,1,17.7,8,1,29.3,8,1,26.9,8,1,21.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/11,14.3,8,1,3.5,8,1,25.3,8,1,17.6,8,1,11.3,8,1,14.5,8,1,4.3,8,1,22.8,8,1,18.0,8,1,11.0,8,1,22.5,8,1,15.7,8,1,27.6,8,1,25.2,8,1,20.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1982/12,9.5,8,1,1.4,8,1,20.9,8,1,13.0,8,1,5.7,8,1,8.6,8,1,0.6,8,1,17.7,8,1,12.3,8,1,5.0,8,1,18.1,8,1,12.4,8,1,25.0,8,1,20.7,8,1,15.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/1,6.2,8,1,-2.4,8,1,16.5,8,1,10.2,8,1,2.5,8,1,6.1,8,1,-2.5,8,1,14.8,8,1,9.5,8,1,2.6,8,1,17.1,8,1,10.9,8,1,23.4,8,1,19.5,8,1,14.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/2,6.1,8,1,-0.9,8,1,15.0,8,1,10.2,8,1,2.4,8,1,5.6,8,1,-2.2,8,1,13.4,8,1,9.3,8,1,2.0,8,1,15.9,8,1,10.4,8,1,23.9,8,1,18.1,8,1,13.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/3,8.6,8,1,1.3,8,1,17.2,8,1,12.1,8,1,5.2,8,1,8.7,8,1,-0.7,8,1,20.6,8,1,12.9,8,1,5.1,8,1,18.4,8,1,10.7,8,1,25.9,8,1,21.1,8,1,15.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/4,15.9,8,1,7.8,8,1,26.8,8,1,20.3,8,1,12.1,8,1,16.5,8,1,7.4,8,1,28.7,8,1,21.4,8,1,12.2,8,1,23.0,8,1,14.0,8,1,29.4,8,1,25.6,8,1,20.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/5,19.7,8,1,11.0,8,1,28.5,8,1,23.7,8,1,15.7,8,1,20.1,8,1,10.9,8,1,31.7,8,1,25.6,8,1,15.4,8,1,24.3,8,1,18.3,8,1,29.8,8,1,26.9,8,1,22.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/6,20.5,8,1,13.6,8,1,29.8,8,1,24.2,8,1,17.1,8,1,22.5,8,1,15.9,8,1,31.0,8,1,27.5,8,1,18.6,8,1,26.3,8,1,19.7,8,1,30.7,8,1,28.7,8,1,24.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/7,23.8,8,1,15.1,8,1,32.9,8,1,27.1,8,1,21.2,8,1,26.7,8,1,19.3,8,1,34.7,8,1,30.7,8,1,23.5,8,1,28.7,8,1,22.5,8,1,33.2,8,1,31.3,8,1,26.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/8,27.5,8,1,21.2,8,1,37.1,8,1,31.0,8,1,24.6,8,1,29.4,8,1,22.5,8,1,38.5,8,1,34.1,8,1,26.0,8,1,28.6,8,1,24.9,8,1,33.3,8,1,31.3,8,1,26.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/9,23.1,8,1,14.9,8,1,33.3,8,1,26.1,8,1,20.9,8,1,24.9,8,1,17.1,8,1,34.9,8,1,28.9,8,1,21.9,8,1,28.2,8,1,24.2,8,1,32.3,8,1,30.9,8,1,25.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/10,17.7,8,1,7.3,8,1,27.9,8,1,21.2,8,1,14.3,8,1,17.9,8,1,5.6,8,1,28.9,8,1,22.4,8,1,14.0,8,1,26.2,8,1,20.6,8,1,31.0,8,1,29.0,8,1,24.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/11,12.3,8,1,2.2,8,1,21.6,8,1,16.3,8,1,8.6,8,1,12.6,8,1,3.1,8,1,21.0,8,1,17.0,8,1,8.6,8,1,21.0,8,1,15.3,8,1,27.7,8,1,23.5,8,1,18.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1983/12,7.1,8,1,-0.6,8,1,17.3,8,1,11.1,8,1,3.3,8,1,6.9,8,1,-1.4,8,1,15.6,8,1,10.7,8,1,3.3,8,1,17.0,8,1,10.8,8,1,24.4,8,1,19.5,8,1,14.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/1,3.7,8,1,-2.5,8,1,14.6,8,1,7.5,8,1,0.2,8,1,3.6,8,1,-2.1,8,1,11.3,8,1,7.1,8,1,0.5,8,1,15.2,8,1,10.0,8,1,22.8,8,1,17.8,8,1,12.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/2,3.0,8,1,-3.5,8,1,12.8,8,1,6.3,8,1,0.0,8,1,3.3,8,1,-2.9,8,1,12.6,8,1,6.9,8,1,0.3,8,1,15.6,8,1,8.7,8,1,24.4,8,1,18.1,8,1,13.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/3,5.9,8,1,-1.5,8,1,19.1,8,1,10.2,8,1,2.0,8,1,6.0,8,1,-2.2,8,1,19.2,8,1,10.0,8,1,2.2,8,1,17.5,8,1,9.3,8,1,25.4,8,1,20.0,8,1,14.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/4,11.6,8,1,1.8,8,1,24.0,8,1,16.0,8,1,7.9,8,1,13.7,8,1,3.6,8,1,25.9,8,1,19.0,8,1,9.3,8,1,20.7,8,1,14.5,8,1,26.7,8,1,23.1,8,1,18.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/5,17.2,8,1,9.3,8,1,27.7,8,1,21.2,8,1,14.0,8,1,18.9,8,1,9.3,8,1,28.7,8,1,23.9,8,1,14.5,8,1,23.2,8,1,18.5,8,1,27.8,8,1,25.8,8,1,21.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/6,21.8,8,1,16.5,8,1,31.5,8,1,24.9,8,1,19.2,8,1,24.0,8,1,18.3,8,1,32.1,8,1,28.6,8,1,20.6,8,1,27.0,8,1,22.9,8,1,31.7,8,1,29.5,8,1,25.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/7,26.2,8,1,17.5,8,1,33.6,8,1,30.0,8,1,23.2,8,1,27.5,8,1,22.2,8,1,34.9,8,1,32.0,8,1,24.2,8,1,28.5,8,1,24.3,8,1,32.7,8,1,31.2,8,1,26.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/8,28.6,8,1,21.8,8,1,35.0,8,1,32.4,8,1,25.7,8,1,29.4,8,1,23.2,8,1,36.9,8,1,34.5,8,1,25.9,8,1,28.2,8,1,24.8,8,1,32.6,8,1,30.8,8,1,26.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/9,23.5,8,1,15.7,8,1,38.1,8,1,27.1,8,1,20.3,8,1,24.1,8,1,15.2,8,1,35.4,8,1,28.4,8,1,20.7,8,1,27.3,8,1,23.0,8,1,31.4,8,1,30.4,8,1,25.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/10,17.7,8,1,7.7,8,1,30.4,8,1,21.2,8,1,14.6,8,1,17.8,8,1,7.5,8,1,30.0,8,1,22.4,8,1,14.1,8,1,24.3,8,1,16.8,8,1,30.6,8,1,26.9,8,1,22.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/11,12.2,8,1,3.7,8,1,22.7,8,1,15.9,8,1,8.5,8,1,13.6,8,1,2.2,8,1,24.7,8,1,18.2,8,1,9.6,8,1,22.3,8,1,16.6,8,1,29.3,8,1,25.0,8,1,20.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1984/12,7.7,8,1,-1.1,8,1,19.8,8,1,11.5,8,1,4.0,8,1,7.9,8,1,-1.6,8,1,19.9,8,1,11.8,8,1,4.3,8,1,18.3,8,1,11.2,8,1,25.1,8,1,20.6,8,1,16.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/1,4.1,8,1,-2.5,8,1,13.5,8,1,8.1,8,1,0.5,8,1,4.3,8,1,-2.7,8,1,12.4,8,1,8.2,8,1,0.6,8,1,16.2,8,1,9.4,8,1,22.8,8,1,18.8,8,1,13.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/2,6.5,8,1,-1.3,8,1,14.7,8,1,10.2,8,1,3.1,8,1,6.6,8,1,-0.1,8,1,16.5,8,1,9.9,8,1,3.5,8,1,17.3,8,1,11.0,8,1,23.9,8,1,19.5,8,1,15.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/3,7.8,8,1,1.3,8,1,20.3,8,1,11.2,8,1,4.8,8,1,9.3,8,1,1.4,8,1,19.3,8,1,13.5,8,1,6.0,8,1,19.4,8,1,12.9,8,1,26.0,8,1,22.1,8,1,17.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/4,14.2,8,1,3.3,8,1,23.7,8,1,18.3,8,1,10.3,8,1,15.5,8,1,4.0,8,1,26.1,8,1,20.6,8,1,10.6,8,1,20.2,8,1,12.6,8,1,25.5,8,1,22.8,8,1,17.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/5,19.1,8,1,12.2,8,1,26.5,8,1,23.0,8,1,15.7,8,1,20.1,8,1,12.3,8,1,28.7,8,1,25.1,8,1,15.9,8,1,24.6,8,1,19.8,8,1,29.9,8,1,27.4,8,1,22.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/6,20.2,8,1,13.2,8,1,30.1,8,1,23.1,8,1,17.4,8,1,22.5,8,1,16.2,8,1,30.2,8,1,26.6,8,1,19.3,8,1,25.9,8,1,21.1,8,1,31.1,8,1,28.2,8,1,24.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/7,26.3,8,1,19.7,8,1,34.3,8,1,30.2,8,1,23.3,8,1,27.6,8,1,20.5,8,1,37.2,8,1,32.2,8,1,24.1,8,1,28.0,8,1,24.0,8,1,32.2,8,1,30.9,8,1,25.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/8,27.9,8,1,22.6,8,1,33.9,8,1,31.6,8,1,25.1,8,1,29.2,8,1,23.1,8,1,38.1,8,1,34.6,8,1,25.5,8,1,27.5,8,1,23.7,8,1,32.5,8,1,30.0,8,1,25.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/9,23.1,8,1,14.5,8,1,35.0,8,1,26.1,8,1,20.4,8,1,25.3,8,1,17.3,8,1,35.5,8,1,29.5,8,1,22.1,8,1,27.3,8,1,22.9,8,1,31.5,8,1,30.2,8,1,25.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/10,17.9,8,1,10.0,8,1,29.0,8,1,21.5,8,1,14.6,8,1,19.0,8,1,10.4,8,1,29.9,8,1,23.5,8,1,15.0,8,1,25.4,8,1,20.3,8,1,30.5,8,1,27.9,8,1,23.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/11,13.3,8,1,3.6,8,1,24.5,8,1,17.1,8,1,9.1,8,1,12.8,8,1,2.3,8,1,23.4,8,1,16.7,8,1,9.4,8,1,20.5,8,1,14.3,8,1,27.1,8,1,23.4,8,1,17.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1985/12,7.4,8,1,-0.5,8,1,18.8,8,1,11.4,8,1,3.4,8,1,6.6,8,1,-0.6,8,1,16.0,8,1,10.3,8,1,3.0,8,1,17.7,8,1,11.1,8,1,25.8,8,1,20.0,8,1,15.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/1,4.5,8,1,-1.3,8,1,11.8,8,1,8.2,8,1,1.0,8,1,4.2,8,1,-1.8,8,1,12.5,8,1,7.9,8,1,1.0,8,1,15.0,8,1,8.6,8,1,22.7,8,1,17.8,8,1,12.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/2,4.3,8,1,-1.6,8,1,14.5,8,1,7.9,8,1,0.8,8,1,3.8,8,1,-2.1,8,1,11.0,8,1,7.7,8,1,0.3,8,1,14.6,8,1,9.9,8,1,22.2,8,1,16.9,8,1,12.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/3,7.8,8,1,0.0,8,1,18.1,8,1,11.8,8,1,3.9,8,1,8.3,8,1,-1.2,8,1,19.0,8,1,13.0,8,1,4.3,8,1,17.1,8,1,8.8,8,1,23.7,8,1,19.8,8,1,14.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/4,13.9,8,1,4.6,8,1,23.0,8,1,18.0,8,1,10.0,8,1,14.8,8,1,2.2,8,1,25.3,8,1,19.8,8,1,9.8,8,1,21.3,8,1,14.2,8,1,27.6,8,1,24.1,8,1,19.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/5,17.9,8,1,11.2,8,1,26.9,8,1,21.6,8,1,14.4,8,1,18.6,8,1,10.9,8,1,27.5,8,1,23.1,8,1,14.6,8,1,23.4,8,1,15.2,8,1,29.6,8,1,26.1,8,1,21.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/6,21.1,8,1,13.8,8,1,31.5,8,1,24.4,8,1,18.3,8,1,23.0,8,1,14.9,8,1,31.1,8,1,27.6,8,1,19.3,8,1,26.5,8,1,20.8,8,1,31.7,8,1,29.0,8,1,24.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/7,23.9,8,1,16.7,8,1,33.4,8,1,27.2,8,1,21.2,8,1,26.4,8,1,18.1,8,1,34.7,8,1,30.7,8,1,23.2,8,1,28.8,8,1,24.9,8,1,33.2,8,1,31.7,8,1,26.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/8,26.8,8,1,19.6,8,1,34.6,8,1,30.4,8,1,24.1,8,1,28.2,8,1,19.7,8,1,35.8,8,1,33.1,8,1,24.6,8,1,28.3,8,1,24.4,8,1,32.6,8,1,31.3,8,1,25.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/9,23.7,8,1,15.8,8,1,34.5,8,1,26.8,8,1,21.0,8,1,24.5,8,1,15.9,8,1,35.9,8,1,29.1,8,1,20.8,8,1,27.3,8,1,22.6,8,1,32.3,8,1,30.0,8,1,25.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1986/10,17.1,8,1,8.0,8,1,26.6,8,1,20.5,8,1,13.6,8,1,17.0,8,1,6.4,8,1,27.2,8,1,21.6,8,1,13.1,8,1,23.8,8,1,19.3,8,1,28.5,8,1,26.4,8,1,21.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
